"","site","day","month","year","date","precip","air_min","air_mean","air_max"
"116",1,27,12,2002,2002-12-27,"8.8","8.2","10.7","13.2"
"117",1,28,12,2002,2002-12-28,"12.2","9.2","10.7","12.2"
"118",1,29,12,2002,2002-12-29,"3.2","7.2","8.5","9.8"
"119",1,30,12,2002,2002-12-30,"25.2","3","7.9","12.8"
"120",1,31,12,2002,2002-12-31,"19.6","1.4","6.6","11.8"
"121",1,1,1,2003,2003-01-01,"6.2","0.8","4.8","8.8"
"122",1,2,1,2003,2003-01-02,"4.8","7.2","9.4","11.6"
"123",1,3,1,2003,2003-01-03,"16.6","3.2","8","12.8"
"124",1,4,1,2003,2003-01-04,"0.8","0","4.4","8.8"
"125",1,5,1,2003,2003-01-05,"0","-6","-3","0"
"126",1,6,1,2003,2003-01-06,"1.2","-3.2","-1.6","0"
"127",1,7,1,2003,2003-01-07,"0","-3.8","-0.9","2"
"128",1,8,1,2003,2003-01-08,"0","-6.2","-4.5","-2.8"
"129",1,9,1,2003,2003-01-09,"0","-8.4","-5.3","-2.2"
"130",1,10,1,2003,2003-01-10,"0.2","-8","-4.9","-1.8"
"131",1,11,1,2003,2003-01-11,"0","-5.2","-2.6","0"
"132",1,12,1,2003,2003-01-12,"0","-7.2","-3.1","1"
"133",1,13,1,2003,2003-01-13,"0.4","-5.2","-0.5","4.2"
"134",1,14,1,2003,2003-01-14,"0","4.2","5.9","7.6"
"135",1,15,1,2003,2003-01-15,"0","5.2","6.8","8.4"
"136",1,16,1,2003,2003-01-16,"3.3","2.2","4.4","6.6"
"137",1,17,1,2003,2003-01-17,"0","2","4.9","7.8"
"138",1,18,1,2003,2003-01-18,"0","1.2","3.5","5.8"
"139",1,19,1,2003,2003-01-19,"0","2.4","3.7","5"
"140",1,20,1,2003,2003-01-20,"3.4","4.2","6","7.8"
"141",1,21,1,2003,2003-01-21,"8.4","6.4","8.1","9.8"
"142",1,22,1,2003,2003-01-22,"1.2","6.6","8.4","10.2"
"143",1,23,1,2003,2003-01-23,"5.8","5","7.2","9.4"
"144",1,24,1,2003,2003-01-24,"0","0.2","4.5","8.8"
"145",1,25,1,2003,2003-01-25,"0","-1.8","3.4","8.6"
"146",1,26,1,2003,2003-01-26,"1.4","1","3.6","6.2"
"147",1,27,1,2003,2003-01-27,"4.4","3.8","6.9","10"
"148",1,28,1,2003,2003-01-28,"2.6","2.8","6.3","9.8"
"149",1,29,1,2003,2003-01-29,"8.6","1","4.4","7.8"
"150",1,30,1,2003,2003-01-30,"10.2","0","3","6"
"151",1,31,1,2003,2003-01-31,"5.6","-3.2","-0.3","2.6"
"152",1,1,2,2003,2003-02-01,"0","-4.4","-1.8","0.8"
"153",1,2,2,2003,2003-02-02,"5.5","-4.4","-1.1","2.2"
"154",1,3,2,2003,2003-02-03,"4.6","1.8","3.5","5.2"
"155",1,4,2,2003,2003-02-04,"0","-0.4","3.1","6.6"
"156",1,5,2,2003,2003-02-05,"1.8","-2","1.2","4.4"
"157",1,6,2,2003,2003-02-06,"1.6","0","1.6","3.2"
"158",1,7,2,2003,2003-02-07,"1.4","1.8","3.3","4.8"
"159",1,8,2,2003,2003-02-08,"1.4","3.8","5.3","6.8"
"160",1,9,2,2003,2003-02-09,"0.5","5.4","6.3","7.2"
"161",1,10,2,2003,2003-02-10,"0","2.2","5.2","8.2"
"162",1,11,2,2003,2003-02-11,"0","-1","3.5","8"
"163",1,12,2,2003,2003-02-12,"0","-2","2.7","7.4"
"164",1,13,2,2003,2003-02-13,"0","-4.2","-2.3","-0.4"
"165",1,14,2,2003,2003-02-14,"0","-4.8","-1.2","2.4"
"166",1,15,2,2003,2003-02-15,"0","-3.2","0.3","3.8"
"167",1,16,2,2003,2003-02-16,"0","-2.2","0.5","3.2"
"168",1,17,2,2003,2003-02-17,"0","-5","-1.5","2"
"169",1,18,2,2003,2003-02-18,"0","-5","-0.9","3.2"
"170",1,19,2,2003,2003-02-19,"0","-5","0","5"
"171",1,20,2,2003,2003-02-20,"0","-3.2","3.8","10.8"
"172",1,21,2,2003,2003-02-21,"0","-1.8","4.6","11"
"173",1,22,2,2003,2003-02-22,"0","-1","4.1","9.2"
"174",1,23,2,2003,2003-02-23,"0","1.8","6.3","10.8"
"175",1,24,2,2003,2003-02-24,"0","2.4","7.3","12.2"
"176",1,25,2,2003,2003-02-25,"0","0","7.1","14.2"
"177",1,26,2,2003,2003-02-26,"0","0","7","14"
"178",1,27,2,2003,2003-02-27,"0","1.8","6.8","11.8"
"179",1,28,2,2003,2003-02-28,"0","4.4","10.2","16"
"180",1,1,3,2003,2003-03-01,"4.2","4.8","8.6","12.4"
"181",1,2,3,2003,2003-03-02,"1.8","6.8","9.5","12.2"
"182",1,3,3,2003,2003-03-03,"19.8","0","4.9","9.8"
"183",1,4,3,2003,2003-03-04,"0","3.2","6.6","10"
"184",1,5,3,2003,2003-03-05,"0.6","5.4","7.4","9.4"
"185",1,6,3,2003,2003-03-06,"0","5.8","9.4","13"
"186",1,7,3,2003,2003-03-07,"0","1.8","5.8","9.8"
"187",1,8,3,2003,2003-03-08,"3.4","3.2","7","10.8"
"188",1,9,3,2003,2003-03-09,"0.2","6.2","8.3","10.4"
"189",1,10,3,2003,2003-03-10,"0","7","10.4","13.8"
"190",1,11,3,2003,2003-03-11,"3.2","8.2","10.6","13"
"191",1,12,3,2003,2003-03-12,"8.8","4.2","7.6","11"
"192",1,13,3,2003,2003-03-13,"2.2","3","7.2","11.4"
"193",1,14,3,2003,2003-03-14,"0","1","5.4","9.8"
"194",1,15,3,2003,2003-03-15,"0","0.6","5.6","10.6"
"195",1,16,3,2003,2003-03-16,"0","0","5.5","11"
"196",1,17,3,2003,2003-03-17,"0","-0.8","6.5","13.8"
"197",1,18,3,2003,2003-03-18,"0","0.4","7.3","14.2"
"198",1,19,3,2003,2003-03-19,"0","-0.4","6","12.4"
"199",1,20,3,2003,2003-03-20,"0","-0.2","7.3","14.8"
"200",1,21,3,2003,2003-03-21,"0","1.8","6.6","11.4"
"201",1,22,3,2003,2003-03-22,"0","0.6","6.4","12.2"
"202",1,23,3,2003,2003-03-23,"0","5.2","9.8","14.4"
"203",1,24,3,2003,2003-03-24,"0","5","12.1","19.2"
"204",1,25,3,2003,2003-03-25,"0","7.2","13.8","20.4"
"205",1,26,3,2003,2003-03-26,"0","4.8","10.9","17"
"206",1,27,3,2003,2003-03-27,"0","2.6","10.5","18.4"
"207",1,28,3,2003,2003-03-28,"0","4","11.6","19.2"
"208",1,29,3,2003,2003-03-29,"0","5.4","13.1","20.8"
"209",1,30,3,2003,2003-03-30,"0.6","7.8","12.4","17"
"210",1,31,3,2003,2003-03-31,"0","3.2","10","16.8"
"211",1,1,4,2003,2003-04-01,"0","0","6.9","13.8"
"212",1,2,4,2003,2003-04-02,"3.8","1.4","7.3","13.2"
"213",1,3,4,2003,2003-04-03,"3","2.2","5.6","9"
"214",1,4,4,2003,2003-04-04,"1.2","-1.2","4.1","9.4"
"215",1,5,4,2003,2003-04-05,"0","2","6.6","11.2"
"216",1,6,4,2003,2003-04-06,"0.3","5","8.4","11.8"
"217",1,7,4,2003,2003-04-07,"0","-1.2","4","9.2"
"218",1,8,4,2003,2003-04-08,"0","-1.4","3.4","8.2"
"219",1,9,4,2003,2003-04-09,"0","-2.2","3.3","8.8"
"220",1,10,4,2003,2003-04-10,"0","-0.2","3.9","8"
"221",1,11,4,2003,2003-04-11,"0","-2","2.6","7.2"
"222",1,12,4,2003,2003-04-12,"0","-0.8","5.1","11"
"223",1,13,4,2003,2003-04-13,"0","-0.2","7.7","15.6"
"224",1,14,4,2003,2003-04-14,"0","5.6","12.8","20"
"225",1,15,4,2003,2003-04-15,"0","8.2","15.5","22.8"
"226",1,16,4,2003,2003-04-16,"0","8","16.7","25.4"
"227",1,17,4,2003,2003-04-17,"0","9","16.6","24.2"
"228",1,18,4,2003,2003-04-18,"0","7.2","15.3","23.4"
"229",1,19,4,2003,2003-04-19,"0","4.2","12","19.8"
"230",1,20,4,2003,2003-04-20,"0","3.2","6.7","10.2"
"231",1,21,4,2003,2003-04-21,"0","6.2","10.9","15.6"
"232",1,22,4,2003,2003-04-22,"0","5.8","13.4","21"
"233",1,23,4,2003,2003-04-23,"0","4","11.6","19.2"
"234",1,24,4,2003,2003-04-24,"0","5","11.6","18.2"
"235",1,25,4,2003,2003-04-25,"0","7.8","15.8","23.8"
"236",1,26,4,2003,2003-04-26,"3.8","10","16.1","22.2"
"237",1,27,4,2003,2003-04-27,"25.4","9.8","12.3","14.8"
"238",1,28,4,2003,2003-04-28,"1.6","8.8","12.5","16.2"
"239",1,29,4,2003,2003-04-29,"0","10.2","16.2","22.2"
"240",1,30,4,2003,2003-04-30,"0","10","14.3","18.6"
"241",1,1,5,2003,2003-05-01,"3.4","9","12.1","15.2"
"242",1,2,5,2003,2003-05-02,"1.2","8.8","12.4","16"
"243",1,3,5,2003,2003-05-03,"3.2","7.4","13.3","19.2"
"244",1,4,5,2003,2003-05-04,"0","8.2","12.2","16.2"
"245",1,5,5,2003,2003-05-05,"0.3","12.2","17.9","23.6"
"246",1,6,5,2003,2003-05-06,"7.7","10","13.2","16.4"
"247",1,7,5,2003,2003-05-07,"0","3.2","9.3","15.4"
"248",1,8,5,2003,2003-05-08,"0","5.6","12.6","19.6"
"249",1,9,5,2003,2003-05-09,"0","8","14.1","20.2"
"250",1,10,5,2003,2003-05-10,"0","6.8","11.6","16.4"
"251",1,11,5,2003,2003-05-11,"0","6.8","12.3","17.8"
"252",1,12,5,2003,2003-05-12,"3.4","7.8","13.6","19.4"
"253",1,13,5,2003,2003-05-13,"4.8","6","10.1","14.2"
"254",1,14,5,2003,2003-05-14,"2.2","5.4","9.5","13.6"
"255",1,15,5,2003,2003-05-15,"0","3.8","8.5","13.2"
"256",1,16,5,2003,2003-05-16,"0","4.2","9.3","14.4"
"257",1,17,5,2003,2003-05-17,"0","11.4","14.8","18.2"
"258",1,18,5,2003,2003-05-18,"6.7","12.2","16","19.8"
"259",1,19,5,2003,2003-05-19,"3.2","11.2","14.8","18.4"
"260",1,20,5,2003,2003-05-20,"14.4","8.8","11.7","14.6"
"261",1,21,5,2003,2003-05-21,"1.6","7","11.1","15.2"
"262",1,22,5,2003,2003-05-22,"6.2","5.8","10.6","15.4"
"263",1,23,5,2003,2003-05-23,"0.3","11.8","14.3","16.8"
"264",1,24,5,2003,2003-05-24,"0.6","10.2","12.4","14.6"
"265",1,25,5,2003,2003-05-25,"1","10","12.4","14.8"
"266",1,26,5,2003,2003-05-26,"0","7.4","12.3","17.2"
"267",1,27,5,2003,2003-05-27,"0","10.2","15.2","20.2"
"268",1,28,5,2003,2003-05-28,"0","9.2","15.2","21.2"
"269",1,29,5,2003,2003-05-29,"0","11.2","18.1","25"
"270",1,30,5,2003,2003-05-30,"0","12.2","19.2","26.2"
"271",1,31,5,2003,2003-05-31,"0","10.6","19.2","27.8"
"272",1,1,6,2003,2003-06-01,"0","13.2","19.6","26"
"273",1,2,6,2003,2003-06-02,"2.2","16.2","22.7","29.2"
"274",1,3,6,2003,2003-06-03,"8.6","14.6","18.2","21.8"
"275",1,4,6,2003,2003-06-04,"0.6","16.4","19.7","23"
"276",1,5,6,2003,2003-06-05,"0","14.2","20.6","27"
"277",1,6,6,2003,2003-06-06,"0","10","15.9","21.8"
"278",1,7,6,2003,2003-06-07,"0","13.8","19.4","25"
"279",1,8,6,2003,2003-06-08,"0","12.8","18.5","24.2"
"280",1,9,6,2003,2003-06-09,"18.8","10.4","17.9","25.4"
"281",1,10,6,2003,2003-06-10,"0","13","17.1","21.2"
"282",1,11,6,2003,2003-06-11,"0","14.2","19","23.8"
"283",1,12,6,2003,2003-06-12,"0","12","17.1","22.2"
"284",1,13,6,2003,2003-06-13,"0","9.8","18","26.2"
"285",1,14,6,2003,2003-06-14,"0","11","18.1","25.2"
"286",1,15,6,2003,2003-06-15,"7.8","12.2","16.8","21.4"
"287",1,16,6,2003,2003-06-16,"0","9.8","16.9","24"
"288",1,17,6,2003,2003-06-17,"0","13.2","19.3","25.4"
"289",1,18,6,2003,2003-06-18,"1.4","13.8","19.5","25.2"
"290",1,19,6,2003,2003-06-19,"0","15.2","18.7","22.2"
"291",1,20,6,2003,2003-06-20,"0","14.8","17","19.2"
"292",1,21,6,2003,2003-06-21,"0","12.8","16.5","20.2"
"293",1,22,6,2003,2003-06-22,"0","12.8","18","23.2"
"294",1,23,6,2003,2003-06-23,"2.7","14.8","20.3","25.8"
"295",1,24,6,2003,2003-06-24,"0","11.4","17.6","23.8"
"296",1,25,6,2003,2003-06-25,"0","8.8","15.5","22.2"
"297",1,26,6,2003,2003-06-26,"0","11.8","18","24.2"
"298",1,27,6,2003,2003-06-27,"0","14.4","20.5","26.6"
"299",1,28,6,2003,2003-06-28,"0","14.8","19","23.2"
"300",1,29,6,2003,2003-06-29,"0","10.4","16.5","22.6"
"301",1,30,6,2003,2003-06-30,"0","16.2","21.6","27"
"302",1,1,7,2003,2003-07-01,"16.2","13.2","16.5","19.8"
"303",1,2,7,2003,2003-07-02,"8.8","13.8","16.9","20"
"304",1,3,7,2003,2003-07-03,"4.8","12.2","16.2","20.2"
"305",1,4,7,2003,2003-07-04,"12.4","13.8","16","18.2"
"306",1,5,7,2003,2003-07-05,"0","14.8","17","19.2"
"307",1,6,7,2003,2003-07-06,"0","12.2","16.8","21.4"
"308",1,7,7,2003,2003-07-07,"0","10.6","16.8","23"
"309",1,8,7,2003,2003-07-08,"0","12","17.6","23.2"
"310",1,9,7,2003,2003-07-09,"0","11.8","18.4","25"
"311",1,10,7,2003,2003-07-10,"0","12.6","19.4","26.2"
"312",1,11,7,2003,2003-07-11,"0","12.4","19.9","27.4"
"313",1,12,7,2003,2003-07-12,"0","11.2","19","26.8"
"314",1,13,7,2003,2003-07-13,"0","10.2","18.9","27.6"
"315",1,14,7,2003,2003-07-14,"0","15","20.4","25.8"
"316",1,15,7,2003,2003-07-15,"0","15.4","22.2","29"
"317",1,16,7,2003,2003-07-16,"0","15.4","23.6","31.8"
"318",1,17,7,2003,2003-07-17,"2.2","16.6","23.4","30.2"
"319",1,18,7,2003,2003-07-18,"1.8","15","18.3","21.6"
"320",1,19,7,2003,2003-07-19,"0","15.2","20.9","26.6"
"321",1,20,7,2003,2003-07-20,"0","17.4","24.3","31.2"
"322",1,21,7,2003,2003-07-21,"0","13.8","20","26.2"
"323",1,22,7,2003,2003-07-22,"0","13","19.8","26.6"
"324",1,23,7,2003,2003-07-23,"0","13.4","19.1","24.8"
"325",1,24,7,2003,2003-07-24,"0","15.4","20.3","25.2"
"326",1,25,7,2003,2003-07-25,"0","13.2","18.2","23.2"
"327",1,26,7,2003,2003-07-26,"0","15","19.8","24.6"
"328",1,27,7,2003,2003-07-27,"12.3","17.2","20.1","23"
"329",1,28,7,2003,2003-07-28,"1.8","12.4","17.6","22.8"
"330",1,29,7,2003,2003-07-29,"0","13","18.1","23.2"
"331",1,30,7,2003,2003-07-30,"19.4","15.4","20.7","26"
"332",1,31,7,2003,2003-07-31,"0","12","17.4","22.8"
"333",1,1,8,2003,2003-08-01,"0","13.4","19.3","25.2"
"334",1,2,8,2003,2003-08-02,"0","13.8","20.4","27"
"335",1,3,8,2003,2003-08-03,"0","14.6","20.5","26.4"
"336",1,4,8,2003,2003-08-04,"0","16.2","22.7","29.2"
"337",1,5,8,2003,2003-08-05,"0","15.8","23.1","30.4"
"338",1,6,8,2003,2003-08-06,"0","17.4","24.6","31.8"
"339",1,7,8,2003,2003-08-07,"0","18.6","26.6","34.6"
"340",1,8,8,2003,2003-08-08,"0","17.4","24.9","32.4"
"341",1,9,8,2003,2003-08-09,"0","15.8","21.8","27.8"
"342",1,10,8,2003,2003-08-10,"0","16.2","23.3","30.4"
"343",1,11,8,2003,2003-08-11,"0","16.8","25.5","34.2"
"344",1,12,8,2003,2003-08-12,"0","19.2","26","32.8"
"345",1,13,8,2003,2003-08-13,"0","17.2","25.4","33.6"
"346",1,14,8,2003,2003-08-14,"0","16.4","22.3","28.2"
"347",1,15,8,2003,2003-08-15,"0.2","8.4","15.8","23.2"
"348",1,16,8,2003,2003-08-16,"0","9.6","16.7","23.8"
"349",1,17,8,2003,2003-08-17,"0","13.4","18.5","23.6"
"350",1,18,8,2003,2003-08-18,"0.2","12.6","16.8","21"
"351",1,19,8,2003,2003-08-19,"0","15.2","20.1","25"
"352",1,20,8,2003,2003-08-20,"0","9.8","16.6","23.4"
"353",1,21,8,2003,2003-08-21,"0","9","16.6","24.2"
"354",1,22,8,2003,2003-08-22,"0","10.2","17","23.8"
"355",1,23,8,2003,2003-08-23,"0","15.4","19.7","24"
"356",1,24,8,2003,2003-08-24,"0","12.6","18.2","23.8"
"357",1,25,8,2003,2003-08-25,"0","16.6","20","23.4"
"358",1,26,8,2003,2003-08-26,"0","13.2","18.2","23.2"
"359",1,27,8,2003,2003-08-27,"0","10.8","17.7","24.6"
"360",1,28,8,2003,2003-08-28,"0","13.4","17.8","22.2"
"361",1,29,8,2003,2003-08-29,"31.2","9","14.4","19.8"
"362",1,30,8,2003,2003-08-30,"8.8","11","15.1","19.2"
"363",1,31,8,2003,2003-08-31,"7.3","10.2","14.7","19.2"
"364",1,1,9,2003,2003-09-01,"0.3","11","14.6","18.2"
"365",1,2,9,2003,2003-09-02,"1.8","8","13.2","18.4"
"366",1,3,9,2003,2003-09-03,"0","6.8","13","19.2"
"367",1,4,9,2003,2003-09-04,"0","7.2","14.2","21.2"
"368",1,5,9,2003,2003-09-05,"0","8.6","15.6","22.6"
"369",1,6,9,2003,2003-09-06,"0","15.2","19.2","23.2"
"370",1,7,9,2003,2003-09-07,"0","11.2","16.7","22.2"
"371",1,8,9,2003,2003-09-08,"0","8.2","14","19.8"
"372",1,9,9,2003,2003-09-09,"0","7.4","14.7","22"
"373",1,10,9,2003,2003-09-10,"0","9","15.1","21.2"
"374",1,11,9,2003,2003-09-11,"9.8","9.2","13.6","18"
"375",1,12,9,2003,2003-09-12,"0.4","9.8","14.3","18.8"
"376",1,13,9,2003,2003-09-13,"1.2","7.8","13.1","18.4"
"377",1,14,9,2003,2003-09-14,"0","7","13.6","20.2"
"378",1,15,9,2003,2003-09-15,"0","7.4","14.3","21.2"
"379",1,16,9,2003,2003-09-16,"0","7.6","15.7","23.8"
"380",1,17,9,2003,2003-09-17,"0","8.8","16.4","24"
"381",1,18,9,2003,2003-09-18,"0","9.8","17.9","26"
"382",1,19,9,2003,2003-09-19,"0","12","19.7","27.4"
"383",1,20,9,2003,2003-09-20,"0","12.2","19.8","27.4"
"384",1,21,9,2003,2003-09-21,"0","12.2","20.7","29.2"
"385",1,22,9,2003,2003-09-22,"0","12.4","20.3","28.2"
"386",1,23,9,2003,2003-09-23,"5.7","8","16.4","24.8"
"387",1,24,9,2003,2003-09-24,"0","4","9.7","15.4"
"388",1,25,9,2003,2003-09-25,"0","4","10.1","16.2"
"389",1,26,9,2003,2003-09-26,"0","4.4","11.7","19"
"390",1,27,9,2003,2003-09-27,"0","6.4","11.7","17"
"391",1,28,9,2003,2003-09-28,"0.4","10.6","14.9","19.2"
"392",1,29,9,2003,2003-09-29,"4.4","9.8","13.1","16.4"
"393",1,30,9,2003,2003-09-30,"0","6.2","11.7","17.2"
"394",1,1,10,2003,2003-10-01,"0","7","13.1","19.2"
"395",1,2,10,2003,2003-10-02,"4.2","9.4","12.7","16"
"396",1,3,10,2003,2003-10-03,"1","4.2","9.4","14.6"
"397",1,4,10,2003,2003-10-04,"2.2","5.2","9.6","14"
"398",1,5,10,2003,2003-10-05,"4.2","4.2","9.2","14.2"
