site,country,location,lat_deg,lat_min,lat_ns,long_deg,long_min,long_ew,elevation,mixture_type,g1_species,g1_variety,g2_species,g2_variety,l1_species,l1_variety,l2_species,l2_variety,sowing_date,sowing_method,P_sown,K_sown,N_sown,an_P,an_K,an_N,y1_harv,y2_harv,y3_harv,y4_harv,harvest_ht,sep_method,plot_size,area_yield,area_composition,harvest_method,treat_details,cleaning_cut_date,weeding_details
27,Poland_b,Brody,52,26,N,16,18,E,91.4,ME,Lolium perenne,Lacerta,Dactylis glomerata,Accord,Trifolium pratense,Merviot,Trifolium repens,Milo,3/25/2004,Hand Sown,20,30,30,60,90,90,4,3,0,0,5cm,Fixed Quadrat A,9,6.25,1,By Machine,None,05-02-2004,NA
28,Spain_a,Zaragoza,41,44,N,2,53,E,225,DM,Lolium rigidum,Nurra,Dactylis glomerata,Currie,Medicago polymorpha,Anglona,Medicago sativa,Mamuntanas,11-12-2002,Hand Sown,46,0,31,46,0,61,3,1,1,0,5cm,Fixed Quadrat A,9,4,0.25,By Machine,None,NA,2003 manual weeding of annual weeds
30,Spain_b,Gosol,42,13,N,1,39,E,1410,ME,Lolium perenne,Lacerta,Dactylis glomerata,Accord,Trifolium pratense,Merviot,Trifolium repens,Milo,4/29/2003,Hand Sown,0,0,0,0,0,0,3,0,0,0,5cm,Fixed Quadrat A,8.25,4.32,0.25,By Machine,None,NA,NA
31,Sweden_a,Svalov,55,55,N,13,7,E,55,ME,Lolium perenne,Helmer,Dactylis glomerata,Dactus,Trifolium pratense,Fanny,Trifolium repens,Ramona,07-10-2002,Drilled,0,0,0,0,0,0,3,3,3,0,5cm,Grabbed Sample,8.8,8.8,grabbed,By Machine,Nitrogen (Core=0; Treatment=180),NA,10/1/2004 Ingrowing white clover removed
32,Sweden_b,Svalov,55,55,N,13,7,E,55,ME,Lolium perenne,Helmer,Dactylis glomerata,Dactus,Trifolium pratense,Fanny,Trifolium repens,Ramona,06-01-2003,Drilled,0,0,0,0,0,0,3,3,3,0,5cm,Grabbed Sample,8.8,8.8,grabbed,By Machine,Genetic (ME),NA,10/1/2004 Ingrowing white clover removed
33,Sweden_c,Pitea,65,19,N,21,24,E,5,NE,Phleum pratense,Vega,Poa pratensis,Knut,Trifolium pratense,Betty,Trifolium repens,Norstar,05-01-2003,Drilled,0,0,0,0,0,60,2,3,2,0,5cm,Fixed Quadrat A,19,19,0.25,By Machine,None,08-01-2003,NA
34,Switzerland,Zurich-Reckenholz,47,26,N,8,32,E,491,ME,Lolium perenne,Lacerta,Dactylis glomerata,Accord,Trifolium pratense,Merviot,Trifolium repens,Milo,8/16/2002,Drilled,0,0,25,40,220,150,5,5,5,0,5cm,Fixed Quadrat A,18,9,0.24,By Machine,Nitrogen (Core=150; Treatment1=50; Treatment2=450),10-01-2002,6/1/2003 manual weeding of broadleafed weeds
35,Wales_a,Aberystwyth,52,26,N,4,1,W,30,ME,Lolium perenne,Fennema,Dactylis glomerata,Cambria,Trifolium pratense,Merviot,Trifolium repens,Alice,08-06-2002,Hand Sown,100,200,0,0,0,90,4,4,4,4,5cm,Grabbed Sample,6,1,grabbed,By Machine,Genetic (ME),NA,NA
36,Wales_b,Bronyd Mawr,51,57,N,3,37,W,360,ME,Lolium perenne,Fennema,Dactylis glomerata,Cambria,Trifolium pratense,Merviot,Trifolium repens,Alice,08-06-2003,Hand Sown,0,0,0,120,120,93,4,3,4,0,5cm,Grabbed Sample,6,1,grabbed,By Machine,Genetic (ME),NA,NA
40,Slovenia,Ljubljana,46,3,N,14,28,E,300,ME,Lolium perenne,Lacerta,Dactylis glomerata,Accord,Trifolium pratense,Merviot,Trifolium repens,Milo,09-09-2005,Drilled,40,220,30,40,220,120,4,4,0,0,5cm,Fixed Quadrat A,8.6,4.3,0.25,By Machine,Cutting System,NA,NA
43,Ireland_b,Athenry,53,17,N,8,44,W,40,Other,Lolium perenne,Spelga,Phleum pratense,Motim,Trifolium repens,Avoca,Trifolium ambiguum,Endura,7/27/2005,Hand Sown,40,0,0,35,150,75,7,0,0,0,4cm,Grabbed Sample,10,6.4,grabbed,By Machine,Nitrogen (Core=75; Treatment=150),9/22/2005,NA
44,Ireland_c,Moorepark,52,8,N,8,16,W,48,Other,Lolium perenne,Spelga,Phleum pratense,Motim,Trifolium repens,Avoca,Trifolium ambiguum,Endura,8/15/2005,Hand Sown,40,0,0,35,150,100,7,0,0,0,5cm,Grabbed Sample,10,6.4,grabbed,By Machine,Nitrogen (Core=100; Treatment=200),NA,NA
45,Ireland_d,Johnstown Castle,52,16,N,6,30,W,30,Other,Lolium perenne,NA,Phleum pratense,NA,Trifolium pratense,NA,Trifolium repens,NA,9/18/2009,Hand Sown,0,0,0,25,50,"Year1:150, Year2:120",5,5,0,0,5cm,Grabbed Sample,16,6,grabbed,By Machine,Introduced weed species (Plantago seed introduced to established sward),NA,NA
46,Ireland_e,Johnstown Castle,52,16,N,6,30,W,30,Other,Lolium perenne,Lacerta,Phleum pratense,Motim,Trifolium pratense,Merviot,Trifolium repens,Milo,09-11-2006,Hand Sown,0,0,0,25,50,50,3,2,3,0,5cm,Grabbed Sample,16,6,grabbed,By Machine,Nitrogen (Core=50; Treatment1=200; Treatment2=50+cut to 0cm; Treatment3=200+cut to 0cm),NA,01/04/2007 & 01/05/2008 Manual weeding of forbs and thistles
52,Canada,Levis,46,46,N,71,12,W,43,NE,Phleum pratense,Vega,Poa pratensis,Knut,Trifolium pratense,Bjursele,Trifolium repens,Norstar,5/19/2004,Hand Sown,24,80,30,24,80,60,2,2,2,0,5cm,Fixed Quadrat A,12,3.68,0.25,By Machine,Genetic (NE),NA,NA
